date miles gallons
15-aug-2012 209.5 6.171
20-aug-2012 296.0 9.664
20-sep-2012 240.5 9.867
09-nov-2012 221.8 10.231
10-nov-2012 319.3 10.404
21-nov-2012 287.5 9.543
07-dec-2012 307.3 9.911
22-dec-2012 227.9 9.405
22-dec-2012 318.1 9.812 
30-dec-2012 309.4 9.634
30-dec-2012 269.2 9.271
09-jan-2013 297.9 10.334
26-mar-2013 163.3 9.913
24-apr-2013 300.0 10.12 
29-apr-2013 355.1 10.384
10-may-2013 286.6 9.611
12-may-2013 330.6 10.390 
24-may-2013 301.0 9.956
26-may-2013 316.2 10.020 
26-may-2013 366.9 9.942
01-jul-2013 262.1 10.055 
12-aug-2013 215.8 10.048 
16-aug-2013 283.1 8.690 
26-aug-2013 357.6 9.879
05-oct-2013 242.5 10.121
23-nov-2013 188.9 8.485 
06-jan-2014 311.3 9.870 
18-mar-2014 225.3 10.236
07-may-2014 259.8 10.304 
27-jun-2014 264.8 9.904 
13-aug-2014 277.3 10.465 
20-sep-2014 272.5 11.277
05-jan-2015 223.3 10.018
20-feb-2015 251.1 9.939
25-apr-2015 216.5 10.193
25-may-2015 287.0 10.543
27-may-2015 369.6 9.724
30-may-2015 312.8 9.268
31-may-2015 310.3 9.469
05-jun-2015 220.0 7.181
14-jun-2015 315.2 9.593
30-jun-2015 233.9 9.355
07-jul-2015 316.3 9.643
20-jul-2015 312.1 9.901
28-jul-2015 306.1 9.419
03-aug-2015 211.1 6.766
11-aug-2015 281.3 9.417
22-aug-2015 262.1 9.549
31-aug-2015 280.3 9.380
08-sep-2015 239.4 7.232
17-sep-2015 234.5 7.751
30-sep-2015 255.2 9.407
